name,label,description
15001.jpg,0.0,"The meme represents the avengers movie is a very good thing, we can read this text on it: G HIS. UNDYING FIDELITY Steve is hot and perfect in every way. instagram his. aying Fi You don't look so bad yourself. There's no need to be jealous. Vig//his.undying.fidelity I'm not jealous. I'm gay."
15002.jpg,0.0,"The meme represents a girl and boy are playing with dinosaurs, we can read this text on it: How limagined myself as a Teacher...... How I feel as a Teacher... panda cont"
15004.jpg,0.0,"The meme represents a man is jumping into a puddle, we can read this text on it: WHERE WILL YOU BE WHEN DIARRHEA STRIKE memecenter.com Mame Center"
15005.jpg,0.0,"The meme represents a man with dreams needs a woman with vision, we can read this text on it: A MAN WITH DREAMS... NEEDS A WOMAN WITH VISION"
15006.jpg,0.0,"The meme represents a group of girls sitting on a bench with two wolves, we can read this text on it: THIS IS HOW YOUR GIRLFRIEND SEES YOUR FEMALE FRIENDS THIS IS HOW YOUR BOYFRIEND SEES YOUR MALE FRIENDS"
15008.jpg,1.0,"The meme represents a woman in a cage with a cat, we can read this text on it: BITCHES BE LIKE... GOIN TO THE HIGHEST BIDDER Make a Meme+"
15009.jpg,0.0,"The meme represents a woman laughing while holding a cell, we can read this text on it: MARRIAGE IS JUST TEXTING EACH OTHER MEMES FROM DIFFERENT ROOMS RD"
15010.jpg,0.0,"The meme represents a man and woman sitting on the steps of a house, we can read this text on it: MARRIAGE IS... ALWAYS HAVING SOMEONE TO PITY-LAUGH AT YOUR JOKES RD"
15011.jpg,0.0,"The meme represents a group of people standing in front of a building, we can read this text on it: THE MEDIA: THIS IS A PEACEFUL PROTEST ALSO THE MEDIA: THIS IS DOMESTIC TERRORISM imgflip.com"
15012.jpg,0.0,"The meme represents a woman with a spat and spats in her hands, we can read this text on it: PARENTING MOMSGOTINK IF YOU FEEL CRAZY, THEN YOU'RE DOING IT RIGHT."
15014.jpg,0.0,"The meme represents mary the provovee yue ye ye ye ye ye ye ye ye ye ye ye ye, we can read this text on it: MARRY THE PERSON WHO GIVES YOU THE SAME FEELING YOU GET WHEN YOU SEE FOOD COMING IN A RESTAURANT RD"
15016.jpg,0.0,"The meme represents a man in a wrestling uniform is talking to another man, we can read this text on it: MOVIE WN SUBTITLES ME"
15017.jpg,1.0,"The meme represents a woman in a leopard print dress is standing in front of a door, we can read this text on it: Who says old cougars can't keep their man? I workout to stay in top shape for my man. Just because I'm a cougar doesn't mean I'm gonna let him spend my retirement check HaHaStop.com ckmeme.com"
15018.jpg,0.0,"The meme represents a man laying on the ground with a gun, we can read this text on it: HE BROKE MY HEART PAPA!! I GOT THIS BABYGIRL."
15019.jpg,1.0,"The meme represents a man with a mustache and a white shirt, we can read this text on it: WIFE SAID SHE WANTED SPACE SENT HER THERE WITH ONE PUNCH quickmeme.com"
15020.jpg,0.0,"The meme represents a woman wearing a belt with the words pushpap on it, we can read this text on it: Pushing a pair of jeans to the absolute limits depositphotos itphotos apontphotos"
15021.jpg,0.0,"The meme represents a picture of a group of princesses with the words how do you make me feel, we can read this text on it: HOW MAKEUP MAKES ME FEEL"
15022.jpg,0.0,"The meme represents a boy in a banana suit is sitting in front of a bunch of bananas, we can read this text on it: 6 YOUR MONEY ON THE BANK YOUR MONEY ON CRYPTO"
15024.jpg,1.0,"The meme represents a woman in green and white striped dress holding up her shoes, we can read this text on it: STARBUCKS GRATIS visita: www.crear-meme.com"
15025.jpg,0.0,"The meme represents a woman with a black and white photo of her face, we can read this text on it: JUST WHEN I THOUGHT I WAS EMOTIONALLY STABLE AGAIN HELLO..."
15026.jpg,0.0,"The meme represents a man and woman are smiling and waving, we can read this text on it: BEHIND EVERY GREAT MAN... IS A GREATER WOMAN. memegenerator.net"
15027.jpg,0.0,"The meme represents a child with a smile on her face, we can read this text on it: I want a Daughter One day 30"
15031.jpg,0.0,"The meme represents a man is holding a giant dont, we can read this text on it: TRYNA GET MY SUMMER BODY RIGHT LIKE.. memegenerator.net"
15033.jpg,0.0,"The meme represents a guy drinking a beer in the middle of a street, we can read this text on it: AS GREENDAY SAYS... WAKE ME UP WHEN THIS SEMESTER ENDS memecenter.com MemeCenter Wake Me Up! by brightwood - Meme Center"
15034.jpg,0.0,"The meme represents a bunch of potatoes sitting on top of a rack, we can read this text on it: 50 SHADES OF HAM"
15035.jpg,1.0,"The meme represents batman slappinging batman memememememememememememememememe, we can read this text on it: GET BACK IN THE KITCHEN! BAT MANCOMIC.memegenerator.net"
15036.jpg,0.0,"The meme represents a group of people in a hot tub with the capt that reads, friend one level infinity, we can read this text on it: FRIEND ZONE LEVEL: INFINITY Virgin lvl over 9000"
